*******************************************************************************
Ephemeris / WWW_USER Sat Jun 23 08:34:32 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Jan-25 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Mar-25 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460337.541666667, A.D. 2024-Jan-28 01:00:00.0000, -3.587133252283340E+05,  1.864224586203448E+05,  2.528174756054605E+04, -4.622526915105835E-01, -8.545456105443646E-01, -5.920958244354368E-02,
2460337.583333333, A.D. 2024-Jan-28 02:00:00.0000, -3.603633828559034E+05,  1.833389847501632E+05,  2.506759452141541E+04, -4.544403217954749E-01, -8.584839921422819E-01, -5.976351301612198E-02,
2460337.625000000, A.D. 2024-Jan-28 03:00:00.0000, -3.619852550674123E+05,  1.802414563507723E+05,  2.485145615736319E+04, -4.465942205564693E-01, -8.623536456652814E-01, -6.031253482220211E-02,
2460337.666666667, A.D. 2024-Jan-28 04:00:00.0000, -3.635788214397351E+05,  1.771301212367652E+05,  2.463335020358765E+04, -4.387149491879317E-01, -8.661543531625524E-01, -6.085661256265551E-02,
2460337.708333333, A.D. 2024-Jan-28 05:00:00.0000, -3.651439635716482E+05,  1.740052280001010E+05,  2.441329452176208E+04, -4.308030695704489E-01, -8.698859007107330E-01, -6.139571127252064E-02,
2460337.750000000, A.D. 2024-Jan-28 06:00:00.0000, -3.666805650855371E+05,  1.708670259956514E+05,  2.419130709883406E+04, -4.228591440466700E-01, -8.735480783885440E-01, -6.192979631965329E-02,
2460337.791666667, A.D. 2024-Jan-28 07:00:00.0000, -3.681885116290175E+05,  1.677157653268396E+05,  2.396740604582993E+04, -4.148837353978921E-01, -8.771406802512435E-01, -6.245883340333880E-02,
2460337.833333333, A.D. 2024-Jan-28 08:00:00.0000, -3.696676908764730E+05,  1.645516968313703E+05,  2.374160959666414E+04, -4.068774068213964E-01, -8.806635043049190E-01, -6.298278855286932E-02,
2460337.875000000, A.D. 2024-Jan-28 09:00:00.0000, -3.711179925305131E+05,  1.613750720670536E+05,  2.351393610695393E+04, -3.988407219085391E-01, -8.841163524806279E-01, -6.350162812608717E-02,
2460337.916666667, A.D. 2024-Jan-28 10:00:00.0000, -3.725393083233539E+05,  1.581861432977222E+05,  2.328440405283903E+04, -3.907742446235979E-01, -8.874990306084065E-01, -6.401531880789446E-02,
